更新时间: 26/01/29-15:57:02（北京时间）

央卫频道,#genre#
CCTV2,http://114.233.64.19:4022/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://113.128.68.75:4022/rtp/239.21.1.151:5002$山东电信
CCTV2,http://123.117.161.44:8118/rtp/239.3.1.60:8084$北京市联通
CCTV3,http://192.144.185.155:6000/rtp/225.1.8.88:8000$北京市电信
CCTV3,http://121.237.57.124:7000/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://61.187.186.29:4000/rtp/239.76.253.153:9000$湖南电信
CCTV3,http://61.187.186.29:4000/rtp/239.76.246.153:1234$湖南电信
CCTV3,http://113.66.41.254:10000/rtp/239.77.0.169:5146$广东电信
CCTV3,http://123.112.240.132:5555/rtp/239.3.1.172:8001$北京市联通
CCTV3,http://117.86.48.47:7777/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://171.83.38.123:1234/rtp/239.69.1.122:10370$湖北电信
CCTV3,http://183.158.217.184:8000/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://183.164.63.183:5000/rtp/238.1.78.170:7232$安徽电信
CCTV3,http://116.9.34.165:4000/rtp/239.81.0.231:4056$广西电信
CCTV3,http://120.41.66.7:18888/rtp/239.61.3.34:9722$福建省电信
CCTV3,http://113.205.140.92:4022/rtp/235.254.198.53:1488$重庆市电信
CCTV3,http://114.233.64.19:4022/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://113.128.68.75:4022/rtp/239.21.2.45:5002$山东电信
CCTV3,http://123.117.161.44:8118/rtp/239.3.1.172:8001$北京市联通
CCTV4,http://192.144.185.155:6000/rtp/225.1.8.4:8092$北京市电信
CCTV4,http://121.237.57.124:7000/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://61.187.186.29:4000/rtp/239.76.245.195:1234$湖南电信
CCTV4,http://61.187.186.29:4000/rtp/239.76.246.154:1234$湖南电信
CCTV4,http://61.187.186.29:4000/rtp/239.76.253.154:9000$湖南电信
CCTV4,http://113.66.41.254:10000/rtp/239.77.0.78:5146$广东电信
CCTV4,http://123.112.240.132:5555/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://117.86.48.47:7777/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://171.83.38.123:1234/rtp/239.69.1.138:10466$湖北电信
CCTV4,http://183.158.217.184:8000/rtp/233.50.200.101:5140$浙江电信
CCTV4,http://183.164.63.183:5000/rtp/238.1.78.236:7760$安徽电信
CCTV4,http://116.9.34.165:4000/rtp/239.81.0.96:4056$广西电信
CCTV4,http://120.41.66.7:18888/rtp/239.61.2.206:9224$福建省电信
CCTV4,http://113.205.140.92:4022/rtp/235.254.198.183:7980$重庆市电信
CCTV4,http://114.233.64.19:4022/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://113.128.68.75:4022/rtp/239.21.1.154:5002$山东电信
CCTV4,http://123.117.161.44:8118/rtp/239.3.1.105:8092$北京市联通
CCTV5,http://192.144.185.155:6000/rtp/225.1.8.89:8000$北京市电信
CCTV5,http://121.237.57.124:7000/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://61.187.186.29:4000/rtp/239.76.253.155:9000$湖南电信
CCTV5,http://61.187.186.29:4000/rtp/239.76.246.155:1234$湖南电信
CCTV5,http://61.187.186.29:4000/rtp/239.76.254.214:9000$湖南电信
CCTV5,http://113.66.41.254:10000/rtp/239.77.0.170:5146$广东电信
CCTV5,http://123.112.240.132:5555/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://117.86.48.47:7777/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://171.83.38.123:1234/rtp/239.69.1.123:10376$湖北电信
CCTV5,http://183.158.217.184:8000/rtp/233.50.200.108:5140$浙江电信
CCTV5,http://183.158.217.184:8000/rtp/233.50.201.194:5140$浙江电信
CCTV5,http://183.164.63.183:5000/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://116.9.34.165:4000/rtp/239.81.0.232:4056$广西电信
CCTV5,http://120.41.66.7:18888/rtp/239.61.3.35:9728$福建省电信
CCTV5,http://113.205.140.92:4022/rtp/235.254.198.54:1492$重庆市电信
CCTV5,http://114.233.64.19:4022/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://113.128.68.75:4022/rtp/239.21.2.46:5002$山东电信
CCTV5,http://123.117.161.44:8118/rtp/239.3.1.173:8001$北京市联通
CCTV6,http://192.144.185.155:6000/rtp/225.1.8.84:8000$北京市电信
CCTV6,http://121.237.57.124:7000/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://61.187.186.29:4000/rtp/239.76.253.156:9000$湖南电信
CCTV6,http://61.187.186.29:4000/rtp/239.76.246.156:1234$湖南电信
CCTV6,http://113.66.41.254:10000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://123.112.240.132:5555/rtp/239.3.1.174:8001$北京市联通
CCTV6,http://117.86.48.47:7777/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://171.83.38.123:1234/rtp/239.69.1.124:10382$湖北电信
CCTV6,http://183.158.217.184:8000/rtp/233.50.200.109:5140$浙江电信
CCTV6,http://183.164.63.183:5000/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://116.9.34.165:4000/rtp/239.81.0.233:4056$广西电信
CCTV6,http://120.41.66.7:18888/rtp/239.61.3.36:9734$福建省电信
CCTV6,http://113.205.140.92:4022/rtp/235.254.198.55:1496$重庆市电信
CCTV6,http://114.233.64.19:4022/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://113.128.68.75:4022/rtp/239.21.2.47:5002$山东电信
CCTV6,http://123.117.161.44:8118/rtp/239.3.1.174:8001$北京市联通
CCTV7,http://192.144.185.155:6000/rtp/225.1.8.7:8104$北京市电信
CCTV7,http://121.237.57.124:7000/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://61.187.186.29:4000/rtp/239.76.253.157:9000$湖南电信
CCTV7,http://61.187.186.29:4000/rtp/239.76.246.157:1234$湖南电信
CCTV7,http://113.66.41.254:10000/rtp/239.77.0.138:5146$广东电信
CCTV7,http://123.112.240.132:5555/rtp/239.3.1.61:8104$北京市联通
CCTV7,http://117.86.48.47:7777/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://171.83.38.123:1234/rtp/239.69.1.103:10256$湖北电信
CCTV7,http://183.158.217.184:8000/rtp/233.50.200.102:5140$浙江电信
CCTV7,http://183.164.63.183:5000/rtp/238.1.78.239:7784$安徽电信
CCTV7,http://116.9.34.165:4000/rtp/239.81.0.116:4056$广西电信
CCTV7,http://120.41.66.7:18888/rtp/239.61.2.175:9038$福建省电信
CCTV7,http://113.205.140.92:4022/rtp/235.254.198.56:1500$重庆市电信
CCTV7,http://114.233.64.19:4022/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://113.128.68.75:4022/rtp/239.21.1.152:5002$山东电信
CCTV7,http://123.117.161.44:8118/rtp/239.3.1.61:8104$北京市联通
CCTV8,http://192.144.185.155:6000/rtp/225.1.8.85:8000$北京市电信
CCTV8,http://121.237.57.124:7000/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://61.187.186.29:4000/rtp/239.76.253.158:9000$湖南电信
CCTV8,http://61.187.186.29:4000/rtp/239.76.246.158:1234$湖南电信
CCTV8,http://113.66.41.254:10000/rtp/239.77.0.172:5146$广东电信
CCTV8,http://123.112.240.132:5555/rtp/239.3.1.175:8001$北京市联通
